Row Label,County,Registered Voters,Steve Rosen,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 32-3568,KI,849,234,145,383,1,3
SEA 43-1372,KI,335,80,144,224,0,0
SEA 43-1278,KI,588,155,151,308,1,1
SEA 43-1279,KI,684,179,224,406,0,3
SEA 43-2862,KI,736,200,158,360,0,2
SEA 36-2518,KI,425,110,134,246,0,2
SEA 43-1887,KI,648,177,186,365,0,2
SEA 36-2512,KI,505,146,182,331,0,3
SEA 36-2513,KI,434,131,170,301,0,0
SEA 36-2510,KI,352,129,91,221,0,1
SEA 36-2118,KI,383,113,135,250,0,2
SEA 36-2517,KI,613,172,206,382,0,4
SEA 36-2514,KI,298,86,107,193,0,0
SEA 36-2515,KI,361,107,126,233,0,0
SEA 37-1619,KI,449,118,136,256,0,2
SEA 37-1618,KI,389,95,93,188,0,0
SEA 37-1613,KI,292,95,103,200,0,2
SEA 37-1612,KI,288,87,104,191,0,0
SEA 37-1611,KI,289,86,104,191,0,1
SEA 37-1610,KI,331,89,114,206,0,3
SEA 37-1617,KI,323,88,109,201,0,4
SEA 37-1616,KI,351,91,114,207,0,2
SEA 37-1615,KI,343,108,94,205,0,3
SEA 37-1614,KI,260,67,88,155,0,0
SEA 36-1324,KI,779,213,263,477,0,1
SEA 36-1732,KI,449,134,143,278,0,1
SEA 36-1731,KI,404,108,122,230,0,0
SEA 36-1730,KI,385,89,133,222,0,0
SEA 36-1737,KI,416,104,86,193,0,3
SEA 36-1736,KI,341,94,114,209,0,1
SEA 36-1735,KI,252,73,87,160,0,0
SEA 36-1734,KI,497,144,142,286,0,0
SEA 46-2128,KI,542,119,126,247,0,2
SEA 36-1739,KI,309,107,100,207,0,0
SEA 36-1738,KI,295,91,98,190,0,1
SEA 11-1639,KI,551,102,91,193,0,0
SEA 36-1329,KI,410,105,147,254,0,2
SEA 43-3665,KI,379,101,81,184,0,2
SEA 36-1812,KI,469,119,130,251,0,2
SEA 36-1813,KI,330,76,98,174,0,0
SEA 11-1550,KI,563,126,95,222,0,1
SEA 46-2299,KI,393,120,107,229,0,2
SEA 11-1552,KI,379,70,93,166,0,3
SEA 36-1815,KI,453,171,101,273,0,1
SEA 43-2928,KI,639,140,196,339,0,3
SEA 37-1576,KI,435,126,59,186,0,1
SEA 37-1574,KI,417,99,78,179,0,2
SEA 37-1575,KI,377,69,55,124,0,0
SEA 37-1572,KI,307,92,85,180,0,3
SEA 36-3679,KI,314,66,71,137,0,0
SEA 37-1570,KI,659,157,146,304,0,1
SEA 37-1571,KI,432,134,112,250,0,4
SEA 34-1511,KI,320,80,90,172,0,2
SEA 37-1578,KI,413,87,81,172,0,4
SEA 37-1579,KI,247,53,52,108,0,3
SEA 46-2304,KI,369,109,124,233,0,0
SEA 36-2170,KI,450,131,152,285,0,2
SEA 46-2306,KI,307,92,99,195,0,4
SEA 46-2307,KI,313,112,101,215,0,2
SEA 46-2300,KI,490,156,171,327,0,0
SEA 43-1818,KI,295,95,100,196,0,1
SEA 34-1460,KI,324,91,117,209,0,1
SEA 43-1817,KI,264,74,60,134,0,0
SEA 46-2308,KI,377,93,137,230,0,0
SEA 34-1463,KI,259,84,93,178,0,1
SEA 34-1462,KI,339,85,114,199,0,0
SEA 34-1449,KI,367,87,125,213,0,1
SEA 34-1448,KI,270,93,85,181,0,3
SEA 34-1446,KI,398,103,133,237,0,1
SEA 34-1444,KI,595,189,172,365,0,4
SEA 34-1443,KI,380,130,136,266,0,0
SEA 34-1442,KI,380,106,101,207,0,0
SEA 34-1441,KI,264,79,75,156,0,2
SEA 34-1440,KI,242,62,87,149,0,0
SEA 43-2088,KI,694,184,176,361,0,1
SEA 43-2089,KI,341,32,33,65,0,0
SEA 43-2084,KI,668,216,227,445,0,2
SEA 43-1360,KI,622,203,174,379,0,2
SEA 46-1283,KI,391,110,93,204,0,1
SEA 43-2081,KI,385,22,13,35,0,0
SEA 43-1361,KI,417,110,127,238,0,1
SEA 34-1469,KI,362,91,91,182,0,0
SEA 43-2544,KI,887,281,254,537,0,2
SEA 43-2058,KI,247,65,85,150,0,0
SEA 46-2342,KI,406,95,89,187,0,3
SEA 43-2547,KI,461,104,100,204,0,0
SEA 43-2546,KI,324,89,84,176,0,3
SEA 36-2536,KI,567,156,172,329,0,1
