Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Willie Gregory,Write-in
SEA 46-2300,KI,490,167,327,0,158,2
SEA 43-1818,KI,295,100,196,0,95,1
SEA 34-1460,KI,324,114,209,0,94,1
SEA 43-1817,KI,264,61,134,0,73,0
SEA 46-2308,KI,377,133,230,0,97,0
SEA 34-1463,KI,259,92,178,0,85,1
SEA 34-1462,KI,339,113,199,0,86,0
SEA 34-1449,KI,367,124,213,0,88,1
SEA 34-1448,KI,270,85,181,0,93,3
SEA 34-1446,KI,398,141,237,0,95,1
SEA 34-1444,KI,595,175,365,0,187,3
SEA 34-1443,KI,380,139,266,0,127,0
SEA 34-1442,KI,380,103,207,0,104,0
SEA 34-1441,KI,264,77,156,0,79,0
SEA 34-1440,KI,242,89,149,0,60,0
SEA 43-2088,KI,694,178,361,0,181,2
SEA 43-2089,KI,341,33,65,0,32,0
SEA 43-2084,KI,668,224,445,0,219,2
SEA 43-1360,KI,622,166,379,0,211,2
SEA 46-1283,KI,391,92,204,0,111,1
SEA 43-2081,KI,385,13,35,0,22,0
SEA 43-1361,KI,417,125,238,0,112,1
SEA 34-1469,KI,362,91,182,0,91,0
SEA 43-2544,KI,887,258,537,0,276,3
SEA 43-2058,KI,247,85,150,0,65,0
SEA 46-2342,KI,406,88,187,0,96,3
SEA 43-2547,KI,461,102,204,0,102,0
SEA 43-2546,KI,324,84,176,0,89,3
SEA 36-2536,KI,567,177,329,0,149,3
