Row Label,PrecinctCode,County,Registered Voters,Dave Aldrich,Bruce King
WOODGATE,22134489,SN,NULL,78,64
FAIRWOOD,22134492,SN,NULL,59,60
STONE GATE,22134497,SN,NULL,95,94
HILLMAN,22134501,SN,NULL,124,87
BEVERLY,22134520,SN,NULL,134,108
ADMIRALTY,22134642,SN,NULL,84,90
AVALON,22134688,SN,NULL,53,68
DALE,22134692,SN,NULL,123,123
JEFFERSON,22134699,SN,NULL,79,95
LUNDS GULCH,22134758,SN,NULL,55,34
MARTHA LAKE,22144081,SN,NULL,142,112
EAST SHORE,22144131,SN,NULL,125,117
FREEWAY,22144166,SN,NULL,127,121
ROYAL,22144209,SN,NULL,154,179
CASCADIAN,22144279,SN,NULL,161,138
CLOVER,22144280,SN,NULL,117,88
KENTISH,22144297,SN,NULL,97,90
WALNUT,22144331,SN,NULL,100,77
EVERGREEN,22144415,SN,NULL,83,75
FOREST,22144455,SN,NULL,147,117
NORTHROAD,22144476,SN,NULL,160,152
RHODY RIDGE,22144481,SN,NULL,94,68
FILBERT,22144527,SN,NULL,153,149
MEADOWCREST,22144546,SN,NULL,122,117
TERRACE,22144556,SN,NULL,26,24
ELFIN,22144578,SN,NULL,74,70
BUTTERNUT,22144689,SN,NULL,129,108
POPPY,22144707,SN,NULL,96,57
LYNNWOOD  1,23231115,SN,NULL,62,54
LYNNWOOD  2,23231116,SN,NULL,94,86
LYNNWOOD  3,23231117,SN,NULL,126,86
LYNNWOOD  4,23231118,SN,NULL,114,79
LYNNWOOD  5,23231119,SN,NULL,76,61
LYNNWOOD  6,23231120,SN,NULL,123,86
LYNNWOOD  7,23231121,SN,NULL,157,119
LYNNWOOD  8,23231122,SN,NULL,97,74
LYNNWOOD  9,23231123,SN,NULL,166,113
LYNNWOOD 10,23231124,SN,NULL,63,62
LYNNWOOD 11,23231125,SN,NULL,105,135
LYNNWOOD 13,23231168,SN,NULL,95,87
LYNNWOOD 16,23231186,SN,NULL,119,95
LYNNWOOD 17,23231201,SN,NULL,155,147
LYNNWOOD 18,23231202,SN,NULL,110,130
LYNNWOOD 20,23231203,SN,NULL,144,86
LYNNWOOD 22,23231204,SN,NULL,101,62
LYNNWOOD 23,23231205,SN,NULL,122,107
LYNNWOOD 24,23231206,SN,NULL,103,85
LYNNWOOD 28,23231207,SN,NULL,61,87
LYNNWOOD 29,23231208,SN,NULL,170,152
LYNNWOOD 30,23231210,SN,NULL,129,141
LYNNWOOD 12,23231419,SN,NULL,133,118
LYNNWOOD 14,23231420,SN,NULL,110,84
LYNNWOOD 15,23231421,SN,NULL,98,88
LYNNWOOD 21,23231423,SN,NULL,129,128
LYNNWOOD 31,23231424,SN,NULL,86,64
LYNNWOOD 32(*),23231462,SN,NULL,0,0
LYNNWOOD 33,23231516,SN,NULL,136,105
LYNNWOOD 25,23231626,SN,NULL,170,107
LYNNWOOD 26,23231627,SN,NULL,134,103
HILLTOP,23234077,SN,NULL,186,131
CYPRESS,23234175,SN,NULL,123,122
LAURA,23234184,SN,NULL,168,131
ALDERCREST,23234444,SN,NULL,30,22
LARCH,23234461,SN,NULL,128,95
MAGNOLIA,23234539,SN,NULL,119,74
PACIFIC,23234550,SN,NULL,37,26
RIDGEVIEW,23234755,SN,NULL,69,48
MOUNTLAKE TERRACE  7,23241095,SN,NULL,65,70
MOUNTLAKE TERRACE  8,23241096,SN,NULL,133,89
MOUNTLAKE TERRACE  9,23241097,SN,NULL,76,75
MOUNTLAKE TERRACE 10,23241137,SN,NULL,172,144
NILE,23244749,SN,NULL,0,0
MARYSVILLE  1,23811047,SN,NULL,78,89
MARYSVILLE  2,23811048,SN,NULL,63,49
MARYSVILLE  4,23811128,SN,NULL,86,111
MARYSVILLE  6,23811129,SN,NULL,96,102
MARYSVILLE  3,23811261,SN,NULL,134,145
MARYSVILLE  9,23811299,SN,NULL,66,52
MARYSVILLE 11,23811342,SN,NULL,155,175
MARYSVILLE  7,23811350,SN,NULL,92,82
MARYSVILLE  8,23811351,SN,NULL,121,113
MARYSVILLE 10,23811429,SN,NULL,84,102
MARYSVILLE 13,23811430,SN,NULL,102,100
MARYSVILLE 15,23811465,SN,NULL,136,120
MARYSVILLE 17,23811467,SN,NULL,111,125
MARYSVILLE 20,23811504,SN,NULL,122,136
MARYSVILLE 26,23811544,SN,NULL,139,146
MARYSVILLE 27,23811571,SN,NULL,148,171
MARYSVILLE 28,23811572,SN,NULL,61,97
MARYSVILLE 25,23811650,SN,NULL,73,73
MARYSVILLE 29,23811651,SN,NULL,72,75
MARYSVILLE 32,23811679,SN,NULL,84,99
MARYSVILLE 35,23811728,SN,NULL,120,135
MARYSVILLE 36,23811729,SN,NULL,95,95
MARYSVILLE 37,23811730,SN,NULL,84,94
MARYSVILLE 38,23811731,SN,NULL,78,113
MARYSVILLE 39,23811732,SN,NULL,97,125
MARYSVILLE 40,23811733,SN,NULL,94,102
MARYSVILLE 41,23811734,SN,NULL,87,91
MARYSVILLE 42,23811735,SN,NULL,111,105
MARYSVILLE 43,23811736,SN,NULL,117,130
MARYSVILLE 46,23811739,SN,NULL,161,182
MARYSVILLE 47,23811740,SN,NULL,104,142
MARYSVILLE 48,23811741,SN,NULL,96,108
MARYSVILLE 49,23811742,SN,NULL,93,110
MARYSVILLE 50,23811743,SN,NULL,121,138
MARYSVILLE 51,23811744,SN,NULL,55,52
LOMA,23814167,SN,NULL,114,117
TIMBER,23814325,SN,NULL,0,0
WILLOW,23814335,SN,NULL,82,123
STRAUS,23814363,SN,NULL,167,173
WENBERG,23814488,SN,NULL,118,129
EVERETT   1,23821214,SN,NULL,188,110
EVERETT   2,23821215,SN,NULL,165,78
EVERETT   3,23821216,SN,NULL,98,96
EVERETT   4,23821217,SN,NULL,149,98
EVERETT   6,23821218,SN,NULL,93,89
EVERETT   8,23821219,SN,NULL,88,123
EVERETT  11,23821220,SN,NULL,172,120
EVERETT  12,23821221,SN,NULL,114,99
EVERETT  13,23821222,SN,NULL,90,96
EVERETT  14,23821223,SN,NULL,119,103
EVERETT  15,23821224,SN,NULL,113,113
